iter	Passed	Remaining
0	1	163
1	4	213
2	10	343
3	12	310
4	15	302
5	19	299
6	23	316
7	27	321
8	31	316
9	33	300
10	36	298
11	44	326
12	50	336
13	52	324
14	54	311
15	56	297
16	58	285
17	61	280
18	63	272
19	71	285
20	74	279
21	77	275
22	80	268
23	82	261
24	86	258
25	89	255
26	97	263
27	99	255
28	101	249
29	106	248
30	107	239
31	108	230
32	109	222
33	111	215
34	112	208
35	113	202
36	115	196
37	116	189
38	117	184
39	118	178
40	120	172
41	120	166
42	121	161
43	123	156
44	124	152
45	125	147
46	127	143
47	128	138
48	129	134
49	131	131
50	132	127
51	133	123
52	135	120
53	137	117
54	138	113
55	140	110
56	141	106
57	142	103
58	143	99
59	145	96
60	146	93
61	147	90
62	148	87
63	150	84
64	151	81
65	152	78
66	154	75
67	155	73
68	156	70
69	157	67
70	158	64
71	160	62
72	161	59
73	162	57
74	163	54
75	164	52
76	166	49
77	167	47
78	168	44
79	169	42
80	170	39
81	171	37
82	172	35
83	173	33
84	175	30
85	176	28
86	177	26
87	178	24
88	179	22
89	180	20
90	181	17
91	182	15
92	184	13
93	184	11
94	185	9
95	187	7
96	188	5
97	189	3
98	190	1
99	192	0
